13:36:22.620 -> 	⸮sensor = 10	 output = 2
13:36:24.225 -> sensor = 37	 output = 9
13:36:24.259 -> sensor = 91	 output = 22
13:36:24.294 -> sensor = 743	 output = 185
13:36:24.328 -> sensor = 963	 output = 240
13:36:24.362 -> sensor = 963	 output = 240
13:36:24.396 -> sensor = 962	 output = 240
13:36:24.396 -> sensor = 963	 output = 240
13:36:24.430 -> sensor = 963	 output = 240
13:36:24.464 -> sensor = 963	 output = 240
13:36:24.498 -> sensor = 963	 output = 240
13:36:24.532 -> sensor = 963	 output = 240
13:36:24.565 -> sensor = 963	 output = 240
13:36:24.565 -> sensor = 963	 output = 240
13:36:24.599 -> sensor = 889	 output = 222
13:36:24.633 -> sensor = 7	 output = 1
13:36:24.668 -> sensor = 8	 output = 2
13:36:24.703 -> sensor = 8	 output = 2
13:36:24.703 -> sensor = 8	 output = 2
13:36:24.737 -> sensor = 8	 output = 2
13:36:24.772 -> sensor = 8	 output = 2
13:36:24.772 -> sensor = 8	 output = 2
13:36:24.807 -> sensor = 8	 output = 2
13:36:24.840 -> sensor = 8	 output = 2
13:36:24.874 -> sensor = 8	 output = 2
13:36:24.908 -> sensor = 8	 output = 2
13:36:24.908 -> sensor = 8	 output = 2
13:36:24.941 -> sensor = 8	 output = 2
13:36:24.975 -> sensor = 8	 output = 2
13:36:24.975 -> sensor = 8	 output = 2
13:36:25.010 -> sensor = 8	 output = 2
13:36:25.044 -> sensor = 8	 output = 2
13:36:25.044 -> sensor = 8	 output = 2
13:36:25.078 -> sensor = 8	 output = 2
13:36:25.113 -> sensor = 8	 output = 2
13:36:25.147 -> sensor = 8	 output = 2
13:36:25.181 -> sensor = 8	 output = 2
13:36:25.181 -> sensor = 8	 output = 2
13:36:25.215 -> sensor = 8	 output = 2
13:36:25.249 -> sensor = 8	 output = 2
13:36:25.249 -> sensor = 8	 output = 2
13:36:25.283 -> sensor = 8	 output = 2
13:36:25.317 -> sensor = 8	 output = 2
13:36:25.352 -> sensor = 8	 output = 2
