13:31:51.304 -> 
13:31:52.898 -> sensor = 8	 output = 2
13:31:52.933 -> sensor = 8	 output = 2
13:31:52.933 -> sensor = 8	 output = 2
13:31:52.968 -> sensor = 8	 output = 2
13:31:52.968 -> sensor = 8	 output = 2
13:31:53.003 -> sensor = 8	 output = 2
13:31:53.038 -> sensor = 8	 output = 2
13:31:53.073 -> sensor = 8	 output = 2
13:31:53.108 -> sensor = 8	 output = 2
13:31:53.108 -> sensor = 8	 output = 2
13:31:53.143 -> sensor = 8	 output = 2
13:31:53.177 -> sensor = 8	 output = 2
13:31:53.177 -> sensor = 8	 output = 2
13:31:53.212 -> sensor = 8	 output = 2
13:31:53.246 -> sensor = 8	 output = 2
13:31:53.280 -> sensor = 8	 output = 2
13:31:53.280 -> sensor = 8	 output = 2
13:31:53.314 -> sensor = 8	 output = 2
13:31:53.348 -> sensor = 8	 output = 2
13:31:53.383 -> sensor = 8	 output = 2
13:31:53.383 -> sensor = 8	 output = 2
13:31:53.417 -> sensor = 8	 output = 2
13:31:53.417 -> sensor = 8	 output = 2
13:31:53.452 -> sensor = 8	 output = 2
13:31:53.487 -> sensor = 8	 output = 2
13:31:53.522 -> sensor = 9	 output = 2
13:31:53.556 -> sensor = 8	 output = 2
13:31:53.556 -> sensor = 9	 output = 2
13:31:53.592 -> sensor = 9	 output = 2
13:31:53.592 -> sensor = 9	 output = 2
13:31:53.625 -> sensor = 9	 output = 2
13:31:53.660 -> sensor = 9	 output = 2
13:31:53.695 -> sensor = 9	 output = 2
13:31:53.730 -> sensor = 9	 output = 2
13:31:53.730 -> sensor = 9	 output = 2
13:31:53.765 -> sensor = 9	 output = 2
13:31:53.799 -> sensor = 9	 output = 2
13:31:53.834 -> sensor = 9	 output = 2
13:31:53.834 -> sensor = 9	 output = 2
13:31:53.869 -> sensor = 9	 output = 2
13:31:53.869 -> sensor = 9	 output = 2
13:31:53.904 -> sensor = 9	 output = 2
13:31:53.937 -> sensor = 9	 output = 2
13:31:53.972 -> sensor = 9	 output = 2
13:31:54.007 -> sensor = 9	 output = 2
13:31:54.007 -> sensor = 9	 output = 2
13:31:54.042 -> sensor = 9	 output = 2
13:31:54.042 -> sensor = 9	 output = 2
13:31:54.076 -> sensor = 10	 output = 2
13:31:54.110 -> sensor = 9	 output = 2
13:31:54.145 -> sensor = 9	 output = 2
13:31:54.180 -> sensor = 9	 output = 2
13:31:54.180 -> sensor = 9	 output = 2
13:31:54.215 -> sensor = 9	 output = 2
13:31:54.250 -> sensor = 9	 output = 2
13:31:54.250 -> sensor = 9	 output = 2
13:31:54.283 -> sensor = 9	 output = 2
13:31:54.318 -> sensor = 9	 output = 2
13:31:54.353 -> sensor = 9	 output = 2
13:31:54.353 -> sensor = 9	 output = 2
13:31:54.388 -> sensor = 9	 output = 2
13:31:54.423 -> sensor = 9	 output = 2
13:31:54.458 -> sensor = 10	 output = 2
13:31:54.458 -> sensor = 15	 output = 3
13:31:54.493 -> sensor = 15	 output = 3
13:31:54.528 -> sensor = 9	 output = 2
13:31:54.528 -> sensor = 9	 output = 2
13:31:54.563 -> sensor = 9	 output = 2
13:31:54.598 -> sensor = 9	 output = 2
13:31:54.633 -> sensor = 57	 output = 14
13:31:54.633 -> sensor = 386	 output = 96
13:31:54.667 -> sensor = 510	 output = 127
13:31:54.702 -> sensor = 250	 output = 62
13:31:54.737 -> sensor = 95	 output = 23
13:31:54.772 -> sensor = 7	 output = 1
13:31:54.772 -> sensor = 7	 output = 1
13:31:54.806 -> sensor = 7	 output = 1
13:31:54.842 -> sensor = 7	 output = 1
13:31:54.842 -> sensor = 7	 output = 1
13:31:54.875 -> sensor = 7	 output = 1
13:31:54.910 -> sensor = 7	 output = 1
13:31:54.910 -> sensor = 7	 output = 1
13:31:54.945 -> sensor = 7	 output = 1
13:31:54.980 -> sensor = 7	 output = 1
13:31:55.015 -> sensor = 7	 output = 1
13:31:55.049 -> sensor = 7	 output = 1
13:31:55.049 -> sensor = 7	 output = 1
13:31:55.084 -> sensor = 7	 output = 1
13:31:55.084 -> sensor = 7	 output = 1
13:31:55.119 -> sensor = 7	 output = 1
13:31:55.154 -> sensor = 7	 output = 1
13:31:55.188 -> sensor = 20	 output = 5
13:31:55.223 -> sensor = 124	 output = 31
13:31:55.223 -> sensor = 255	 output = 63
13:31:55.257 -> sensor = 209	 output = 52
13:31:55.292 -> sensor = 191	 output = 47
13:31:55.327 -> sensor = 152	 output = 38
13:31:55.327 -> sensor = 72	 output = 18
13:31:55.362 -> sensor = 37	 output = 9
13:31:55.397 -> sensor = 19	 output = 4
13:31:55.431 -> sensor = 12	 output = 3
13:31:55.466 -> sensor = 54	 output = 13
13:31:55.466 -> sensor = 91	 output = 22
13:31:55.501 -> sensor = 68	 output = 17
13:31:55.536 -> sensor = 350	 output = 87
13:31:55.571 -> sensor = 963	 output = 240
13:31:55.606 -> sensor = 963	 output = 240
13:31:55.606 -> sensor = 962	 output = 240
13:31:55.641 -> sensor = 962	 output = 240
13:31:55.675 -> sensor = 9	 output = 2
13:31:55.709 -> sensor = 8	 output = 2
13:31:55.709 -> sensor = 8	 output = 2
13:31:55.744 -> sensor = 8	 output = 2
13:31:55.778 -> sensor = 8	 output = 2
13:31:55.812 -> sensor = 8	 output = 2
13:31:55.812 -> sensor = 8	 output = 2
13:31:55.847 -> sensor = 8	 output = 2
