13:41:05.925 -> usensor = 5	 output = 1
13:41:07.504 -> sensor = 5	 output = 1
13:41:07.538 -> sensor = 5	 output = 1
13:41:07.572 -> sensor = 5	 output = 1
13:41:07.572 -> sensor = 5	 output = 1
13:41:07.606 -> sensor = 5	 output = 1
13:41:07.641 -> sensor = 5	 output = 1
13:41:07.675 -> sensor = 5	 output = 1
13:41:07.710 -> sensor = 5	 output = 1
13:41:07.710 -> sensor = 5	 output = 1
13:41:07.745 -> sensor = 5	 output = 1
13:41:07.745 -> sensor = 5	 output = 1
13:41:07.780 -> sensor = 5	 output = 1
13:41:07.815 -> sensor = 5	 output = 1
13:41:07.849 -> sensor = 5	 output = 1
13:41:07.883 -> sensor = 5	 output = 1
13:41:07.883 -> sensor = 5	 output = 1
13:41:07.917 -> sensor = 5	 output = 1
13:41:07.950 -> sensor = 5	 output = 1
13:41:07.950 -> sensor = 5	 output = 1
13:41:07.985 -> sensor = 5	 output = 1
13:41:08.019 -> sensor = 5	 output = 1
13:41:08.019 -> sensor = 4	 output = 1
13:41:08.053 -> sensor = 5	 output = 1
13:41:08.088 -> sensor = 5	 output = 1
13:41:08.123 -> sensor = 5	 output = 1
13:41:08.158 -> sensor = 5	 output = 1
13:41:08.158 -> sensor = 5	 output = 1
13:41:08.192 -> sensor = 5	 output = 1
13:41:08.192 -> sensor = 5	 output = 1
13:41:08.227 -> sensor = 5	 output = 1
13:41:08.262 -> sensor = 5	 output = 1
13:41:08.297 -> sensor = 5	 output = 1
13:41:08.330 -> sensor = 5	 output = 1
13:41:08.330 -> sensor = 5	 output = 1
13:41:08.364 -> sensor = 5	 output = 1
13:41:08.398 -> sensor = 5	 output = 1
13:41:08.433 -> sensor = 5	 output = 1
13:41:08.433 -> sensor = 5	 output = 1
13:41:08.467 -> sensor = 5	 output = 1
13:41:08.467 -> sensor = 73	 output = 18
13:41:08.501 -> sensor = 357	 output = 89
13:41:08.535 -> sensor = 961	 output = 240
13:41:08.569 -> sensor = 962	 output = 240
13:41:08.603 -> sensor = 963	 output = 240
13:41:08.638 -> sensor = 962	 output = 240
13:41:08.672 -> sensor = 963	 output = 240
13:41:08.672 -> sensor = 962	 output = 240
13:41:08.706 -> sensor = 962	 output = 240
13:41:08.741 -> sensor = 962	 output = 240
13:41:08.776 -> sensor = 960	 output = 240
13:41:08.811 -> sensor = 722	 output = 180
13:41:08.846 -> sensor = 6	 output = 1
13:41:08.881 -> sensor = 6	 output = 1
13:41:08.881 -> sensor = 6	 output = 1
13:41:08.916 -> sensor = 6	 output = 1
13:41:08.916 -> sensor = 6	 output = 1
13:41:08.951 -> sensor = 6	 output = 1
13:41:08.986 -> sensor = 6	 output = 1
13:41:09.021 -> sensor = 6	 output = 1
13:41:09.055 -> sensor = 6	 output = 1
13:41:09.055 -> sensor = 6	 output = 1
13:41:09.090 -> sensor = 6	 output = 1
13:41:09.090 -> sensor = 6	 output = 1
13:41:09.124 -> sensor = 6	 output = 1
13:41:09.159 -> sensor = 6	 output = 1
13:41:09.193 -> sensor = 6	 output = 1
13:41:09.193 -> sensor = 6	 output = 1
13:41:09.228 -> sensor = 7	 output = 1
13:41:09.263 -> sensor = 6	 output = 1
13:41:09.263 -> sensor = 6	 output = 1
13:41:09.298 -> sensor = 6	 output = 1
13:41:09.332 -> sensor = 7	 output = 1
13:41:09.367 -> sensor = 6	 output = 1
13:41:09.367 -> sensor = 6	 output = 1
13:41:09.402 -> sensor = 6	 output = 1
13:41:09.436 -> sensor = 6	 output = 1
13:41:09.471 -> sensor = 7	 output = 1
13:41:09.471 -> sensor = 6	 output = 1
13:41:09.506 -> sensor = 6	 output = 1
13:41:09.541 -> sensor = 6	 output = 1
13:41:09.541 -> sensor = 6	 output = 1
13:41:09.576 -> sensor = 6	 output = 1
13:41:09.611 -> sensor = 6	 output = 1
13:41:09.645 -> sensor = 6	 output = 1
13:41:09.645 -> sensor = 6	 output = 1
13:41:09.680 -> sensor = 6	 output = 1
13:41:09.714 -> sensor = 7	 output = 1
13:41:09.714 -> sensor = 6	 output = 1
13:41:09.749 -> sensor = 6	 output = 1
13:41:09.784 -> sensor = 6	 output = 1
13:41:09.818 -> sensor = 6	 output = 1
13:41:09.818 -> sensor = 6	 output = 1
13:41:09.852 -> sensor = 6	 output = 1
13:41:09.887 -> sensor = 6	 output = 1
13:41:09.887 -> sensor = 6	 output = 1
13:41:09.922 -> sensor = 7	 output = 1
13:41:09.957 -> sensor = 6	 output = 1
13:41:09.991 -> sensor = 6	 output = 1
13:41:09.991 -> sensor = 6	 output = 1
13:41:10.026 -> sensor = 7	 output = 1
13:41:10.061 -> sensor = 6	 output = 1
13:41:10.096 -> sensor = 6	 output = 1
13:41:10.096 -> sensor = 6	 output = 1
13:41:10.131 -> sensor = 6	 output = 1
13:41:10.166 -> sensor = 7	 output = 1
13:41:10.166 -> sensor = 6	 output = 1
13:41:10.199 -> sensor = 6	 output = 1
13:41:10.234 -> sensor = 6	 output = 1
13:41:10.269 -> sensor = 6	 output = 1
13:41:10.269 -> sensor = 6	 output = 1
13:41:10.304 -> sensor = 6	 output = 1
13:41:10.304 -> sensor = 6	 output = 1
13:41:10.338 -> sensor = 6	 output = 1
13:41:10.373 -> sensor = 6	 output = 1
13:41:10.408 -> sensor = 7	 output = 1
13:41:10.443 -> sensor = 12	 output = 3
13:41:10.443 -> sensor = 7	 output = 1
13:41:10.478 -> sensor = 6	 output = 1
13:41:10.513 -> sensor = 6	 output = 1
13:41:10.513 -> sensor = 6	 output = 1
13:41:10.547 -> sensor = 6	 output = 1
13:41:10.582 -> sensor = 6	 output = 1
13:41:10.617 -> sensor = 6	 output = 1
13:41:10.617 -> sensor = 7	 output = 1
13:41:10.651 -> sensor = 6	 output = 1
13:41:10.686 -> sensor = 6	 output = 1
13:41:10.721 -> sensor = 17	 output = 4
13:41:10.721 -> sensor = 93	 output = 23
13:41:10.756 -> sensor = 228	 output = 57
13:41:10.791 -> sensor = 420	 output = 105
13:41:10.825 -> sensor = 686	 output = 171
13:41:10.859 -> sensor = 961	 output = 240
13:41:10.859 -> sensor = 961	 output = 240
13:41:10.894 -> sensor = 961	 output = 240
13:41:10.928 -> sensor = 960	 output = 240
13:41:10.963 -> sensor = 959	 output = 239
13:41:10.998 -> sensor = 883	 output = 220
13:41:10.998 -> sensor = 621	 output = 155
13:41:11.033 -> sensor = 235	 output = 58
13:41:11.068 -> sensor = 6	 output = 1
13:41:11.103 -> sensor = 6	 output = 1
13:41:11.138 -> sensor = 6	 output = 1
13:41:11.138 -> sensor = 6	 output = 1
13:41:11.173 -> sensor = 6	 output = 1
13:41:11.207 -> sensor = 6	 output = 1
13:41:11.207 -> sensor = 6	 output = 1
13:41:11.242 -> sensor = 6	 output = 1
13:41:11.277 -> sensor = 6	 output = 1
13:41:11.311 -> sensor = 6	 output = 1
